Title,Issn,SJR Best Quartile,Year,Focus,Feed,Journal URL,Qualification note,Inclusion Basis
Digital Scholarship in the Humanities,"2055-7671, 2055-768X",Q1,2024,digital and computational humanities,digital-humanities,https://academic.oup.com/dsh,2024 SJR best quartile Q1; specialist digital-humanities venue
Journal of Cultural Analytics,2371-4549,,,cultural analytics and computational cultural research,digital-humanities,https://culturalanalytics.org/,User-curated specialist journal; ISSN and journal link verified through the ISSN International Centre and publisher site,user-curated specialist
Computational Humanities Research,2977-8158,,,computational and quantitative humanities research,digital-humanities,https://www.cambridge.org/core/journals/computational-humanities-research,User-curated specialist journal launched in 2025; online ISSN and scope verified through Cambridge University Press and the ISSN International Centre,user-curated specialist
Journal of Computer Applications in Archaeology,2514-8362,Q1,2024,computational archaeology,digital-humanities,https://journal.caa-international.org/,2024 SJR best quartile Q1 in Archaeology; specialist computational venue
Digital Applications in Archaeology and Cultural Heritage,2212-0548,Q1,2024,digital archaeology and heritage,digital-humanities,https://www.sciencedirect.com/journal/digital-applications-in-archaeology-and-cultural-heritage,2024 SJR best quartile Q1; specialist digital-heritage venue
ACM Journal on Computing and Cultural Heritage,"1556-4673, 1556-4711",Q1,2024,computing and cultural heritage,digital-humanities,https://dl.acm.org/journal/jocch,2024 SJR best quartile Q1; computing-and-heritage specialist
Journal of Cultural Heritage,"1296-2074, 1778-3674",Q1,2024,cultural heritage science and methods,digital-humanities,https://www.sciencedirect.com/journal/journal-of-cultural-heritage,2024 SJR best quartile Q1; adjacent heritage venue filtered for computational and historical evidence
Heritage Science,2050-7445,Q1,2024,heritage science and digital methods,digital-humanities,https://heritagesciencejournal.springeropen.com/,2024 SJR best quartile Q1; adjacent heritage venue filtered for computational and historical evidence
Virtual Archaeology Review,1989-9947,Q1,2024,virtual archaeology and digital heritage,digital-humanities,https://polipapers.upv.es/index.php/var,2024 SJR best quartile Q1; specialist digital-archaeology venue
The American Historical Review,"0002-8762, 1937-5239",Q1,2024,general history monitored for AI and computation,ai-history,https://academic.oup.com/ahr,2024 SJR best quartile Q1 in History; only dual-evidence computational papers qualify
Past & Present,"0031-2746, 1477-464X",Q1,2024,general history monitored for AI and computation,ai-history,https://academic.oup.com/past,2024 SJR best quartile Q1 in History; only dual-evidence computational papers qualify
History Workshop Journal,"1363-3554, 1477-4569",Q1,2024,general history monitored for AI and computation,ai-history,https://academic.oup.com/hwj,2024 SJR best quartile Q1 in History; only dual-evidence computational papers qualify
The Historical Journal,"0018-246X, 1469-5103",Q1,2024,general history monitored for AI and computation,ai-history,https://www.cambridge.org/core/journals/historical-journal,2024 SJR best quartile Q1 in History; only dual-evidence computational papers qualify
History and Theory,"0018-2656, 1468-2303",Q1,2024,history theory monitored for AI and computation,ai-history,https://onlinelibrary.wiley.com/journal/14682303,2024 SJR best quartile Q1 in History and Philosophy; only dual-evidence computational papers qualify
Journal of Social History,"0022-4529, 1527-1897",Q1,2024,social history monitored for AI and computation,ai-history,https://academic.oup.com/jsh,2024 SJR best quartile Q1 in History; only dual-evidence computational papers qualify
The Journal of Modern History,"0022-2801, 1537-5358",Q1,2024,modern history monitored for AI and computation,ai-history,https://www.journals.uchicago.edu/toc/jmh/current,2024 SJR best quartile Q1 in History; only dual-evidence computational papers qualify
The Public Historian,"0272-3433, 1533-8576",Q1,2024,public history monitored for AI and computation,ai-history,https://online.ucpress.edu/tph,2024 SJR best quartile Q1 in History; only dual-evidence computational papers qualify
